Parameter Name	Beta_All Data_HepG2_All Pos. PPI	Beta_All Data_HepG2_Same Pos. PPI	Beta_All Data_K562_All Pos. PPI	Beta_All Data_K562_Same Pos. PPI	Beta_Train & Validate_HepG2_All Pos. PPI	Beta_Train & Validate_HepG2_Same Pos. PPI	Beta_Train & Validate_K562_Same Pos. PPI	P-value_All Data_HepG2_All Pos. PPI	P-value_All Data_HepG2_Same Pos. PPI	P-value_All Data_K562_All Pos. PPI	P-value_All Data_K562_Same Pos. PPI	P-value_Train & Validate_HepG2_All Pos. PPI	P-value_Train & Validate_HepG2_Same Pos. PPI	P-value_Train & Validate_K562_Same Pos. PPI
const	0.6529701460879076	0.6537606905817714	0.6799868563954071	0.6806992048728033	0.6550980006398953	0.6556900470943157	0.6812125801514599	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS_1			2.5543815088916386e-14	-4.5095621553933926e-15			2.7555405378683335e-15			0.0002129329238349058	0.05314751957594663			0.46487025488966305
AARS_2			-7.088916353452235e-15	2.6226345191511353e-15			5.456097987568173e-15			0.516380123515218	0.12957179242912348			0.0401630857030122
AARS_3			-0.770167175393762	-0.8019534679521162			-1.2483094947674804			8.744024246701652e-07	1.478383383568666e-07			1.6933570680184466e-15
AARS_4			1.8387316075409535e-14	-8.465274094846807e-15			1.0261114437440334e-14			0.009966433218046862	2.918503364964543e-07			8.691057886161289e-07
AARS_5			3.194227717720085e-14	1.5026760275390382e-14			-1.892102162086329e-14			0.001187529588503622	2.5558762382558287e-12			3.7908692421996125e-11
AARS_6			1.297454916651477e-14	2.9479920028820738e-15			-6.876566042287467e-15			0.06680876277710902	0.18571979405825895			0.05907160188703221
AATF_1			0.01848385156541582	-0.0017784360775277733			0.05891083493481723			0.04791748929104843	0.8258449097787322			6.925282233001494e-10
AATF_2			0.03716990212470946	0.030064183385684777			0.011137431286292757			1.5348345683717942e-06	2.3002489329352853e-05			0.14119125148142095
AATF_3			-0.03828621109668773	-0.027244472966520696			-0.020996909672331854			2.2286542811239224e-07	1.9676373904277585e-05			0.0037447051909799784
AATF_4			-0.014745670586507347	-0.04050732449390095			-0.048644358499091905			0.21163267618607481	4.0863588156801486e-05			5.20305420508282e-06
AATF_5			0.053610053981998425	0.002051256458394215			-0.020713656908694627			2.092139976318201e-12	0.7643723928802946			0.004564920530814541
AATF_6			-0.11397879319053335	-0.07877447678135029			-0.05523691435949266			2.89061968236114e-33	3.963226642913097e-18			1.3251924131249415e-08
ABCF1_1			-0.05210826323146334	-0.22203119139612446			-0.21441011980304162			0.20796469866388256	5.02717174255351e-10			0.0034590132765661336
ABCF1_2			-1.7605958468490054e-14	-1.1666587864220838e-15			6.99956633180363e-15			0.027674929250711747	0.38689986837593926			0.006575659739048282
ABCF1_3			-0.23581827639085925	-0.2079048075185708			-0.33541938570652274			1.4328225995421508e-19	4.457813401766683e-17			1.1552519490653064e-23
ABCF1_4			0.1427463184111101	0.1980811816356342			0.2651221078282582			0.0007263525878125784	2.023250333588925e-06			4.449127184369473e-09
ABCF1_5			0.39099272281652525	0.5567911919521675			0.4972586486208618			1.398153634078919e-05	3.716570216500967e-14			8.04814898767942e-11
ABCF1_6			0.2045996715419076	0.18488190204108898			0.029993767375479215			0.00652330061167986	0.0135187985848616			0.8903767930410138
ADAT1_1			0.02965150382507802	0.0388354509055668			0.06269129696882486			0.04070804713295866	0.00634828490355404			0.0001165265199433996
ADAT1_2			-0.17068299891107483	-0.20917156986108495			-0.1634037903216379			2.4416117376103058e-11	1.0627575153015851e-17			4.664609757149566e-06
ADAT1_3			0.4711840209282859	0.3415881164071205			0.2322992243792927			6.022530242746146e-60	1.2580451117091251e-33			4.973158536740501e-12
ADAT1_4			-0.3440861311533052	-0.2647396739339724			-0.383004349397446			2.741588167326326e-21	1.326008915320439e-13			2.102127904933548e-16
ADAT1_5			0.210099426037278	0.20402038718194065			0.35251619799908684			7.390698490632758e-29	4.868580680692801e-30			4.545950741736467e-56
ADAT1_6			0.06399079347553534	0.07528476768625877			0.10709766392202419			0.00045186548577513314	3.254348915932978e-05			1.7941824768680642e-07
AGGF1_1	-0.08484645683426893	-0.08929483209352583	0.10205029495656467	0.06141550683809571	-0.14597647384523993	-0.1559049200723249	-0.03558894179701356	1.6121596619382151e-31	5.574558707792589e-35	4.056640910272573e-46	6.312921632908857e-19	5.203366508905349e-77	1.9502235072624582e-88	2.16306229489896e-06
AGGF1_2	-0.012524638326083316	-0.012282481906643472	0.03523828509517007	0.04871201571533827	0.02303680262317032	0.01990656732728649	0.08419388100619137	0.015769999148618475	0.017857899094927708	1.0926423106398888e-11	4.790854728489565e-22	0.00010404292662260433	0.0008273225577289855	5.655627708883216e-54
AGGF1_3	-0.0912947194553646	-0.1012511257553436	-0.04549432163971123	-0.039998658212289685	-0.12286025891009122	-0.12301509848255256	-0.09028965636932863	1.861357237320075e-43	3.3526539548601264e-53	3.528705614957616e-17	5.178973219368769e-15	1.0237765905587197e-59	3.633948925483404e-60	8.439418502903875e-57
AGGF1_4	0.01029392437485339	0.016267958030433096	-0.010132138519317465	-0.014529316007474891	-0.0022103832690322147	0.0008280134825267193	-0.043655907773904025	0.10291460137454363	0.010156675881101624	0.0329474326163769	0.001856563122753001	0.745801920969018	0.9036169127194944	1.1580164579806233e-17
AGGF1_5	0.006302976390223856	-0.004049243594460349	0.0588333573608235	0.06251495371219973	-5.904078049464944e-05	-0.004436623874236344	0.058087765652189496	0.4571404525098306	0.6187041954964989	4.261980537412105e-24	7.933916283375766e-29	0.9948782380835038	0.6132244646574718	2.533729853862885e-19
AGGF1_6	0.022056005163498503	0.024860528398230677	-0.022141027101162978	-0.030341616216719266	0.018776576860768064	0.01832103503429868	-0.011694205790380701	0.0006433531411770057	0.00010501423398630232	1.9424444275873742e-05	1.442605318356441e-09	0.006275122989092911	0.007048166469413777	0.045328959870739066
AKAP1_1	0.10825600568689785	0.0913944280733427	0.17651569640611914	0.3386713231405994	0.12646180267184878	0.09745759611348787	0.3577573947273756	5.886679623404519e-46	1.6805151052544563e-34	1.1276086364340214e-10	3.116919746202424e-48	2.17374370581445e-50	3.431938930709478e-32	6.056766304340228e-50
AKAP1_2	0.005773784103867619	0.0027846992227460285	-0.020940841387499184	-0.08957758314096521	0.034410411200988124	0.0362905801471271	-0.12009130544530944	0.34268449351785046	0.6417566393556072	0.06823559443501279	2.0973473919763023e-17	8.94933413253614e-07	1.440080376505189e-07	3.208400509150968e-25
AKAP1_3	0.08725861803315253	0.05399246303862426	0.0019204485129414586	0.004184553812951381	0.010669552030977657	0.01223583858265183	0.30275018056188885	1.4060061323851933e-12	5.011029223505829e-06	0.8931165335047022	0.7661806887918577	0.4714179215336989	0.3829917165847756	4.648510866041998e-37
AKAP1_4	-0.08822760159437776	-0.09039667601099585	0.2279148363477752	0.24529960096363831	-0.09502064766472917	-0.07627197266822867	0.20679650315420808	2.6937815852677843e-16	8.69203321332076e-19	8.246915435482622e-24	7.511376363440225e-28	1.0307432888643962e-12	7.416248175225353e-10	4.463588167040689e-20
AKAP1_5	0.16421261196491369	0.1591804409442301	0.36316995616685344	0.31844057797066855	0.20297457270725594	0.1956608951194401	0.3513328746549632	1.3951650236243267e-46	2.3525820424260935e-45	3.6360989358712067e-78	1.4754288617891581e-63	3.0044855710106746e-51	9.029501246395952e-50	1.2566968346432622e-72
AKAP1_6	-0.04548808546968608	-0.04420694534186044	-0.13693072343767135	-0.11420052716914571	-0.0747452851999121	-0.06368399691590333	-0.09840411982991706	5.240883451957718e-22	9.728448079188756e-22	2.5157801653212093e-37	1.0762142769169683e-27	1.2792592967639157e-45	3.966504610957054e-35	1.9670166769228848e-20
AKAP8L_1			0.11017382811508888	0.09387658124556586			0.04570564835543998			5.6388475285480034e-42	1.2465973702653458e-35			3.1446745179518997e-08
AKAP8L_2			-0.12608149430883236	-0.08881641977631664			-0.06408663962899266			1.6087336502626952e-87	5.629692336536052e-55			1.5075760359050816e-22
AKAP8L_3			0.06253891272022548	0.06287582819158533			0.030044360104542093			3.1895678010674585e-37	3.079265944176244e-44			1.2370986955348764e-09
AKAP8L_4			0.05292096804610136	0.06088738153576691			0.02610508063742515			4.224670907219642e-21	3.643198496040302e-32			7.454176967555327e-06
AKAP8L_5			-0.0013062488314976779	0.012741343831921548			0.0014547476647037677			0.7795626174966236	0.003557830035843277			0.7729214815452481
AKAP8L_6			0.05418278619491031	0.04983459080686033			0.024015395318656426			4.474619427047692e-16	1.2829153425321948e-14			0.0014868762672933969
APEX1_1			0.2777168475545287	0.2935720857461424			0.2721129481374152			2.5553286286454585e-16	1.6162050858880858e-18			3.0419669921362556e-15
APEX1_2			0.3768688600522106	0.38044152356178335			0.34611457797147993			9.106515329573431e-36	1.8563718347100377e-38			8.687596428220906e-27
APEX1_3			-0.008661006504338754	-0.020638672785640907			0.17017354029550041			0.8384354469815569	0.6250588510707173			0.00029694208169153653
APEX1_4			-0.3382668849397984	-0.3606281602910108			0.2142803836199328			1.5491255394893506e-27	1.142047744149305e-33			0.047030489467651516
APEX1_5			-0.1411795909325672	-0.1646348502337937			-0.19293986094774018			5.217156073650159e-22	2.8997136845727827e-29			4.735453473968645e-39
APEX1_6			0.20640261529624102	0.2381214216044148			-0.41981244554342556			0.0002063057028547102	2.484019480972008e-06			0.016919864470091216
APOBEC3C-1_HNRNPK-1_interaction			-3.103038160826771e-14							0.002619155718454855				
APOBEC3C-1_HNRNPK-2_interaction			2.6541438498067486e-14							0.009670347424682256				
APOBEC3C-1_HNRNPK-3_interaction			-0.056375531573008404							0.5857927087473782				
APOBEC3C-1_HNRNPK-4_interaction			-5.687409858599516e-14							1.8121208991040126e-07				
APOBEC3C-1_HNRNPK-5_interaction			-0.4942581236859266							0.0722439569363362				
APOBEC3C-1_HNRNPK-6_interaction			-0.23212981255917475							0.02993780327442344				
APOBEC3C-1_PCBP1-1_interaction			-0.5946525877172375	-0.17282777704803395			-0.7462364554725743			9.817322055886281e-71	7.60667299240157e-14			3.378961585087459e-89
APOBEC3C-1_PCBP1-2_interaction			0.19454216087784262							0.0005460225492891169				
APOBEC3C-1_PCBP1-3_interaction			0.6107511817985333							0.000834091204326728				
APOBEC3C-1_PCBP1-4_interaction			-0.4044871957502651							8.047160197667979e-10				
APOBEC3C-1_PCBP1-5_interaction			-0.4966557367918868							0.01874679413942153				
APOBEC3C-1_PCBP1-6_interaction			0.8276474378903949							0.001205836670791922				
APOBEC3C-2_HNRNPK-1_interaction			0.2105636363897854							0.03890175556704505				
