run_id	run_name	state	sweep_name	sweep_id	seed	type	n_jobs	distance	data_file	data_type	max_depth	objective	eval_metric	n_estimators	learning_rate	early_stopping_rounds	_runtime	_timestamp	test_r2	validate_r2
jm2vid2l	feasible-frost-147	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	11.250754948	1750118652.950044	0.2281050917372578	0.2225593062522323
vmbx95w0	divine-pyramid-145	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	10.969966285	1750118652.2884464	0.21591309746759713	0.1854406908766063
9eq31g7y	azure-spaceship-150	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	21.08232324	1750118663.3716004	0.2331683278397124	0.20861319724823413
fwen01oj	wild-hill-148	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	13.068458616	1750118655.0892248	0.19582365549850575	0.19340290596782328
qttundr6	comfy-disco-149	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	22.262322427	1750118664.4188323	0.18458938567993224	0.250023413544356
7ns7b8jy	colorful-yogurt-151	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	186.623847752	1750118829.4494605	0.17281571663265727	0.28761539820471715
inher820	electric-oath-152	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	316.288631197	1750118959.2483244	0.27453781868629445	0.23717417249279127
2pw8fkrn	winter-snow-155	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	22.333796671	1750118667.9905474	0.2898722877578138	0.2408364298694979
hprlxdaw	ancient-waterfall-154	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	54.507553924	1750118700.020584	0.17532344699889213	0.18501721752935815
xawr6aik	northern-hill-153	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.4	100	60.187975803	1750118704.9661646	0.24782805497010485	0.1829239006413211
0bke01qg	ethereal-haze-157	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	21.091186865	1750118667.3489065	0.2250910929015857	0.24603266973482807
0m869hjs	curious-butterfly-159	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	58.237400594	1750118704.6235108	0.2580108317946427	0.22762777523865263
7jwf7zgf	fast-fog-156	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	179.488987305	1750118825.5612748	0.20753929342741628	0.2010574748415631
ekjulazo	restful-wave-158	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	20.356988564	1750118666.7216537	0.19056686063186323	0.1837615888963502
os3dpik3	daily-microwave-159	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.4	100	57.899475914	1750118704.285406	0.19499368158339692	0.20644160190968783
0pzugi2a	lemon-forest-169	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.2	100	13.450937121	1750118661.218767	0.19554937193888225	0.25402053973050376
1zu98g0v	noble-deluge-164	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.05	100	58.204305604	1750118704.968325	0.1837237016216906	0.25420097396749686
cda0ugyp	northern-moon-162	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	30.756764687	1750118677.8807554	0.14843428957734697	0.22597585443902113
fatb0fdh	fluent-frog-167	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	12.889149037	1750118660.3222585	0.16928560990759434	0.2159647390591284
ki39q4sk	devout-serenity-168	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	23.227529696	1750118670.9042993	0.23946839644527895	0.17783115077726308
x5guxbgn	spring-dream-161	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	18.20955855	1750118665.0421932	0.24787932324323148	0.21824976504590787
x9f4sfb4	resilient-yogurt-163	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	109.348120622	1750118756.5684586	0.18090520486559536	0.1798635972083682
xni5nwgt	fresh-waterfall-169	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	9.278019039	1750118657.0749297	0.2113292263726688	0.19525024012407788
y9mdypob	clear-galaxy-166	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.05	100	14.351487902	1750118661.6859088	0.23317406981024813	0.21260593052318844
yw1926jz	hardy-cherry-165	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	19.089393108	1750118666.4078946	0.1383709217959702	0.24961649371275407
0aj93lf1	faithful-rain-172	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.2	100	8.042297728	1750118655.9176853	0.2657965605340039	0.23363795237610496
1fqggjbu	solar-snowball-173	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.05	100	323.366756295	1750118971.3914657	0.20234666038350824	0.3117493735661978
1hycq2sv	fearless-waterfall-182	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	20.276430423	1750118668.8251042	0.2376794727899925	0.2750982364157326
2i1j32vm	trim-shape-177	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.4	100	127.02413366	1750118774.802141	0.1540345876752226	0.22606319494851468
3o0lzajj	copper-sound-180	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.2	100	9.762879501	1750118658.2037432	0.19384094379168215	0.20217029683250687
4fbm0wi1	fearless-glitter-183	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.2	100	8.748222571	1750118657.4222205	0.26580374857785827	0.2066377351566323
9brn27i3	hopeful-waterfall-176	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	67.321940989	1750118715.101459	0.21230401851781733	0.1910723518546532
9jbeo389	polar-dust-175	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	9.890472786	1750118658.2992578	0.20428090265563992	0.20741779035106955
