run_id	run_name	state	sweep_name	sweep_id	model.name	model.gamma	dataset.name	model.n_jobs	training.seed	model.max_depth	model.objective	model.reg_alpha	model.subsample	model.reg_lambda	training.loss_fn	model.eval_metric	platiglib_project	model.n_estimators	model.learning_rate	training.batch_size	training.pin_memory	training.num_workers	training.wandb.track	dataset.target_fields	training.wandb.entity	model.colsample_bytree	model.min_child_weight	training.profile.plots	training.wandb.project	dataset.fold_filter.seed	dataset.fold_filter.side	training.profile.metrics	training.wandb.save_code	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	training.persistent_workers	dataset.fold_filter.num_folds	training.data_split.num_folds	training.wandb.save_artifacts	dataset.fold_filter.fold_index	training.profile.final_metrics	training.wandb.log_fold_metrics	training.wandb.save_predictions	dataset.fold_filter.group_column	training.data_split.group_column	training.wandb.log_training_plots	training.wandb.log_baseline_metrics	training.wandb.log_training_metrics	training.data_split.validate_frac_of_train	dataset.features.binding_matrix.in_silico_kd	dataset.features.binding_matrix.binding_format	dataset.data_source.EncodeRBPBindingDataSource.window	dataset.data_source.EncodeRBPBindingDataSource.cell_line	dataset.data_source.EncodeRBPBindingDataSource.min_read_count	dataset.data_source.EncodeRBPBindingDataSource.three_exon_combos	cv_loss	cv_mean_absolute_error	cv_mean_absolute_error_std	cv_r2_score	cv_r2_score_std	cv_rmse	cv_rmse_std	holdout_loss	holdout_mean_absolute_error	holdout_r2_score	holdout_rmse	outer_loop_holdout_loss	outer_loop_holdout_mean_absolute_error	outer_loop_holdout_r2_score	outer_loop_holdout_rmse
07y8cazu	zesty-sweep-1217	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	600	9	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.3	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08418	0.1901	0.006261	0.2678	0.01586	0.2901	0.003662	0.08412	0.19	0.2683	0.29				
085ry6l4	blooming-sweep-480	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	400	9	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07907	0.1783	0.005881	0.2707	0.01024	0.2811	0.005847	0.07907	0.1784	0.2709	0.2812				
09p0m8ss	effortless-sweep-414	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	100	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.05	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07893	0.1777	0.00582	0.2718	0.02114	0.2809	0.007268	0.07895	0.1777	0.272	0.281				
0a3y3p6l	decent-sweep-1302	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	700	3	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.1	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	1000	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08246	0.191	0.006057	0.2823	0.01519	0.287	0.008364	0.0824	0.1909	0.2833	0.287				
0a9dqncw	vague-sweep-175	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	700	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.3	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	50	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07997	0.1806	0.00391	0.2623	0.006934	0.2827	0.006566	0.07998	0.1806	0.2625	0.2828				
0akieg09	gentle-sweep-649	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	500	7	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	1000	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07908	0.1791	0.005124	0.2707	0.005339	0.2812	0.00526	0.07907	0.1791	0.2709	0.2812				
0aqq91ti	northern-sweep-981	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	100	3	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08293	0.1921	0.002535	0.2778	0.02038	0.288	0.002887	0.08293	0.192	0.2787	0.288				
0bm8rpht	upbeat-sweep-1160	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	500	3	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08294	0.1904	0.001761	0.2782	0.01263	0.288	0.003034	0.08293	0.1903	0.2787	0.288				
0bzfgr80	misty-sweep-1202	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	500	5	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.3	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08319	0.1896	0.002676	0.2761	0.01407	0.2884	0.003492	0.08321	0.1895	0.2763	0.2885				
0cg2c3ul	youthful-sweep-1313	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	400	7	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.1	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	1000	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08311	0.1877	0.005372	0.277	0.01521	0.2883	0.002893	0.0831	0.1876	0.2772	0.2883				
