Protein A,Protein B,UniProt species A,UniProt species B,UniProt accessions A,UniProt accessions B,UniProt IDs A,UniProt IDs B,Times detected (RIS > 0),avgIS,sumIS,Found in both orientations ,H47_avgIS,H47_sumIS,H47_found in both orientations,H47_times detected (RIS > 0),"Biogrid_all direct evidence (Y2H, reconstituted complex, structure)",Biogrid_all,Hippie,HuRI,Known interaction,Protein A has known interactions,Protein B has known interactions,HPA nuclear A,HPA nuclear B,HPA cytoplasmic A,HPA cytoplasmic B,HPA main locations A,HPA additional locations A,HPA main locations B,HPA additional locations B,HPA shared locations,Youn et al. 2018 (PMID 29395067),NanoBRET,NanoBRET MBU,NanoBRET MBU std ,ENCODE eCLIP data A,ENCODE eCLIP data B,ENCODE eCLIP binding sites A,ENCODE eCLIP binding sites B,Jaccard index,Cobinding prob p(A|B),Cobinding prob p(B|A),Cobinding prob p(A|B) (≤54 nt),Cobinding prob p(B|A) (≤54 nt),Close binding events (≤54 nt) A vs. B,Fraction of close binding events A vs. B,Fraction of close binding events in random data A vs. B,Ratio of fractions A vs. B,Resampling p-value A vs. B,Resampling Wilcoxon p-value A vs. B,Close binding events (≤54 nt) B vs. A,Fraction of close binding events B vs. A,Fraction of close binding events in random data B vs. A,Ratio of fractions B vs. A,Resampling p-value B vs. A,Resampling Wilcoxon p-value B vs. A
RBM15,SPOUT1,HUMAN,MOUSE,Q96T37,Q3UHX9,RBM15_HUMAN,CI114_MOUSE,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,N/A,0,N/A,Nucleoplasm,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1,0,10920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
H1-2,EFTUD2,HUMAN,HUMAN,P16403,Q15029,H12_HUMAN,U5S1_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,1,0,1,1,1,N/A,1,N/A,1,N/A,N/A,Nucleoplasm,Cytosol;Vesicles,N/A,0,N/A,N/A,N/A,0,1,0,13086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIN28B,NOL10,HUMAN,HUMAN,Q6ZN17,Q9BSC4,LN28B_HUMAN,NOL10_HUMAN,2,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,0,Nucleoli;Nucleoplasm,Cytosol,Nucleoli,N/A,Nucleoli,0,N/A,N/A,N/A,1,0,10652,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BCAS2,DCN,HUMAN,HUMAN,O75934,P07585,SPF27_HUMAN,PGS2_HUMAN,2,0.24,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,N/A,1,N/A,Centrosome;Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MREG,SMU1,HUMAN,HUMAN,Q8N565,Q2TAY7,MREG_HUMAN,SMU1_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,1,1,Vesicles,N/A,Vesicles,N/A,Vesicles,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOP9,SLAIN1,HUMAN,HUMAN,Q86U38,Q8ND83,NOP9_HUMAN,SLAI1_HUMAN,2,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,N/A,1,N/A,Nucleoplasm,Cytosol;Nucleoli,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM25,BMI1,HUMAN,HUMAN,P49756,P35226,RBM25_HUMAN,BMI1_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,0,1,Nuclear speckles,N/A,Nuclear bodies;Nucleoplasm,Cytosol;Nucleoli,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RPL35A,PDAP1,HUMAN,HUMAN,P18077,Q13442,RL35A_HUMAN,HAP28_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,N/A,0,N/A,1,N/A,N/A,Cytosol,Plasma membrane,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LDHA,A1CF,HUMAN,HUMAN,P00338,Q9NQ94,LDHA_HUMAN,A1CF_HUMAN,2,0.32,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,0,1,1,0,Cytosol,Vesicles,Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNRPG,DDX23,HUMAN,HUMAN,P62308,Q9BUQ8,RUXG_HUMAN,DDX23_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoli;Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DDX39A,SURF2,MOUSE,HUMAN,Q8VDW0,Q15527,DX39A_MOUSE,SURF2_HUMAN,1,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,1,0,0,Nuclear speckles,N/A,Nucleoli,Nucleoplasm,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RPS2,CEP55,HUMAN,HUMAN,P15880,Q53EZ4,RS2_HUMAN,CEP55_HUMAN,2,0,0.89,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,0,0,1,1,Cytosol;Endoplasmic reticulum,N/A,Centriolar satellite;Plasma membrane,Midbody,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TBRG1,RPSA,HUMAN,HUMAN,Q3YBR2,P08865,TBRG1_HUMAN,RSSA_HUMAN,2,0.37,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,1,Nucleoplasm,N/A,Cytosol;Plasma membrane,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KLC4,YARS2,MOUSE,HUMAN,Q9DBS5,Q9Y2Z4,KLC4_MOUSE,SYYM_HUMAN,2,0,0.88,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,Mitochondria,Cytosol,Mitochondria,Nuclear bodies,Mitochondria,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SERPINA3,ENO1,HUMAN,MOUSE,P01011,P17182,AACT_HUMAN,ENOA_MOUSE,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,N/A,0,N/A,1,N/A,N/A,Cytosol;Plasma membrane,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RPS8,DAPK1,MOUSE,HUMAN,P62242,P53355,RS8_MOUSE,DAPK1_HUMAN,2,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,0,0,1,1,Cytosol;Endoplasmic reticulum,N/A,Centrosome,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABT1,PRPF19,MOUSE,HUMAN,Q9QYL7,Q9UMS4,ABT1_MOUSE,PRP19_HUMAN,1,0,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,0,1,1,0,Vesicles,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DDX39A,WDR46,MOUSE,HUMAN,Q8VDW0,O15213,DX39A_MOUSE,WDR46_HUMAN,2,0.32,0.88,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,N/A,0,N/A,Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNN3,NXF3,MOUSE,HUMAN,Q9DAW9,Q9H4D5,CNN3_MOUSE,NXF3_HUMAN,2,0.56,0.88,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,Actin filaments,Cytosol,Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
