Protein A,Protein B,UniProt species A,UniProt species B,UniProt accessions A,UniProt accessions B,UniProt IDs A,UniProt IDs B,Times detected (RIS > 0),avgIS,sumIS,Found in both orientations ,H47_avgIS,H47_sumIS,H47_found in both orientations,H47_times detected (RIS > 0),"Biogrid_all direct evidence (Y2H, reconstituted complex, structure)",Biogrid_all,Hippie,HuRI,Known interaction,Protein A has known interactions,Protein B has known interactions,HPA nuclear A,HPA nuclear B,HPA cytoplasmic A,HPA cytoplasmic B,HPA main locations A,HPA additional locations A,HPA main locations B,HPA additional locations B,HPA shared locations,Youn et al. 2018 (PMID 29395067),NanoBRET,NanoBRET MBU,NanoBRET MBU std ,ENCODE eCLIP data A,ENCODE eCLIP data B,ENCODE eCLIP binding sites A,ENCODE eCLIP binding sites B,Jaccard index,Cobinding prob p(A|B),Cobinding prob p(B|A),Cobinding prob p(A|B) (≤54 nt),Cobinding prob p(B|A) (≤54 nt),Close binding events (≤54 nt) A vs. B,Fraction of close binding events A vs. B,Fraction of close binding events in random data A vs. B,Ratio of fractions A vs. B,Resampling p-value A vs. B,Resampling Wilcoxon p-value A vs. B,Close binding events (≤54 nt) B vs. A,Fraction of close binding events B vs. A,Fraction of close binding events in random data B vs. A,Ratio of fractions B vs. A,Resampling p-value B vs. A,Resampling Wilcoxon p-value B vs. A
CTBP1,RBM14,HUMAN,MOUSE,Q13363,Q8C2Q3,CTBP1_HUMAN,RBM14_MOUSE,10,8.41,17.19,1,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,CPSF6,MOUSE,MOUSE,Q8C2Q3,Q6NVF9,RBM14_MOUSE,CPSF6_MOUSE,11,13.98,16.03,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,1,0,0,Nuclear speckles,N/A,Nuclear speckles;Nucleoplasm,N/A,Nuclear speckles,0,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PTBP1,PTBP2,HUMAN,HUMAN,P26599,Q9UKA9,PTBP1_HUMAN,PTBP2_HUMAN,8,4.49,15.73,1,0,5.47,0,5,0,0,0,0,0,0,0,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,pos,13.34,0.94,1,0,16175,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF1,EWSR1,HUMAN,MOUSE,Q15637,Q61545,SF01_HUMAN,EWS_MOUSE,3,3.29,15.5,0,7.17,11.66,0,3,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,Nucleoli,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,8788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRSF11,SRPK2,HUMAN,HUMAN,Q05519,P78362,SRS11_HUMAN,SRPK2_HUMAN,10,9.52,14.79,1,2.32,5.06,0,5,0,1,1,1,1,1,1,1,1,0,1,Nuclear speckles,N/A,Cytosol;Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,BAG4,MOUSE,HUMAN,Q8C2Q3,O95429,RBM14_MOUSE,BAG4_HUMAN,11,10.89,14.77,1,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,N/A,0,N/A,Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRPK2,DDX50,HUMAN,HUMAN,P78362,Q9BQ39,SRPK2_HUMAN,DDX50_HUMAN,6,6.86,14.67,0,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,1,0,Cytosol;Nucleoplasm,N/A,Nucleoli,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM12,RBM10,HUMAN,HUMAN,Q9NTZ6,P98175,RBM12_HUMAN,RBM10_HUMAN,4,0,14.64,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4ENIF1,ELAVL3,HUMAN,HUMAN,Q9NRA8,Q14576,4ET_HUMAN,ELAV3_HUMAN,2,1.6,14.63,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,N/A,1,N/A,Vesicles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PUM2,RBM38,MOUSE,MOUSE,Q80U58,Q62176,PUM2_MOUSE,RBM38_MOUSE,5,1.59,14.48,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,1,1,Cytosol,N/A,Cytosol;Nucleoplasm,N/A,Cytosol,0,N/A,N/A,N/A,1,0,5384,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,RBFOX2,MOUSE,HUMAN,Q9JLY7,O43251,DUS14_MOUSE,RFOX2_HUMAN,11,7.8,14.46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Cytosol;Nucleoplasm,N/A,Nucleoplasm,Cytosol,Cytosol;Nucleoplasm,0,N/A,N/A,N/A,0,1,0,10995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U2AF1,U2AF2,HUMAN,MOUSE,Q01081,P26369,U2AF1_HUMAN,U2AF2_MOUSE,11,10.26,14.24,1,9.07,9.02,1,5,1,1,1,1,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,Nucleoplasm,Nucleoplasm,0,N/A,N/A,N/A,1,1,2329,14360,0.254553246,0.25887993,0.938388626,0.224449771,0.813586098,1949,0.8286565,0.04419094,18.7517283,0,0,2656,0.368173,0.01553711,23.69636309,0,0
CFL1,ACTB,HUMAN,MOUSE,P23528,P60710,COF1_HUMAN,ACTB_MOUSE,10,9.08,14.2,1,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,CTBP1,MOUSE,HUMAN,Q9JLY7,Q13363,DUS14_MOUSE,CTBP1_HUMAN,3,1.53,14.17,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,1,0,Cytosol;Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,PSPC1,MOUSE,MOUSE,Q8C2Q3,Q8R326,RBM14_MOUSE,PSPC1_MOUSE,10,8.92,13.98,1,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,1,0,0,Nuclear speckles,N/A,Nucleoplasm,Nucleoli fibrillar center,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCBP2,ELAVL2,HUMAN,MOUSE,Q15366,Q60899,PCBP2_HUMAN,ELAV2_MOUSE,2,0,13.97,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,Nucleoplasm,Cytosol,Nucleoplasm,Cytosol,Cytosol;Nucleoplasm,0,N/A,N/A,N/A,1,0,8656,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF1,CTBP1,HUMAN,HUMAN,Q15637,Q13363,SF01_HUMAN,CTBP1_HUMAN,6,0,13.96,0,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCBP2,RALYL,HUMAN,HUMAN,Q15366,Q86SE5,PCBP2_HUMAN,RALYL_HUMAN,2,1.68,13.94,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,0,Nucleoplasm,Cytosol,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,1,0,8656,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBPMS,PRRC2B,HUMAN,HUMAN,Q93062,Q5JSZ5,RBPMS_HUMAN,PRC2B_HUMAN,7,6.47,13.94,1,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,Nucleoplasm,Cytosol,Cytosol;Nuclear bodies,N/A,Cytosol,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUDT21,CPSF6,MOUSE,MOUSE,Q9CQF3,Q6NVF9,CPSF5_MOUSE,CPSF6_MOUSE,9,10.33,13.92,0,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,0,0,Nuclear bodies,Centriolar satellite,Nuclear speckles;Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCBP2,PTBP2,HUMAN,HUMAN,Q15366,Q9UKA9,PCBP2_HUMAN,PTBP2_HUMAN,2,0,13.86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Nucleoplasm,Cytosol,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,1,0,8656,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTATSF1,EXOSC7,MOUSE,HUMAN,Q8BGC0,Q15024,HTSF1_MOUSE,EXOS7_HUMAN,1,1.93,13.86,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNRPA,RBM14,HUMAN,MOUSE,P09012,Q8C2Q3,SNRPA_HUMAN,RBM14_MOUSE,11,7.68,13.81,1,7.9,7.88,0,5,0,0,0,0,0,0,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,pos,5.62,0.07,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRPF6,MAPRE3,HUMAN,MOUSE,O94906,Q6PER3,PRP6_HUMAN,MARE3_MOUSE,5,5.44,13.78,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,1,Nuclear speckles,N/A,Cytosol,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,CPSF7,MOUSE,HUMAN,Q8C2Q3,Q8N684,RBM14_MOUSE,CPSF7_HUMAN,8,7.56,13.75,1,8.12,7.92,0,5,0,0,0,0,0,1,0,1,1,0,1,Nuclear speckles,N/A,Nucleoplasm,Cytosol,N/A,0,pos,23.91,0.6,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DAPK1,EIF4ENIF1,HUMAN,HUMAN,P53355,Q9NRA8,DAPK1_HUMAN,4ET_HUMAN,3,1.58,13.74,1,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1,1,Centrosome,N/A,Vesicles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PSPC1,NONO,MOUSE,MOUSE,Q8R326,Q99K48,PSPC1_MOUSE,NONO_MOUSE,10,10.85,13.69,1,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,0,0,Nucleoplasm,Nucleoli fibrillar center,Nucleoplasm,Nuclear speckles;Nucleoli fibrillar center,Nucleoli fibrillar center;Nucleoplasm,0,N/A,N/A,N/A,0,1,0,11426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,CSTF2T,MOUSE,MOUSE,Q8C2Q3,Q8C7E9,RBM14_MOUSE,CSTFT_MOUSE,10,11.49,13.63,1,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,1,0,1,Nuclear speckles,N/A,Nucleoplasm,Vesicles,N/A,0,N/A,N/A,N/A,0,1,0,31277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM22,TFIP11,HUMAN,HUMAN,Q9NW64,Q9UBB9,RBM22_HUMAN,TFP11_HUMAN,6,5.74,13.61,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0,1,Nucleoplasm,N/A,Nucleoplasm,Cytosol,Nucleoplasm,0,N/A,N/A,N/A,1,0,2871,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF3B4,PRPF6,HUMAN,HUMAN,Q15427,O94906,SF3B4_HUMAN,PRP6_HUMAN,4,1.57,13.56,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,Nuclear speckles,N/A,Nuclear speckles,N/A,Nuclear speckles,0,N/A,N/A,N/A,1,0,16176,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOL8,RBFOX2,HUMAN,HUMAN,Q76FK4,O43251,NOL8_HUMAN,RFOX2_HUMAN,1,1.49,13.54,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Nucleoli,N/A,Nucleoplasm,Cytosol,N/A,0,N/A,N/A,N/A,0,1,0,10995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZRSR2,SRPK2,HUMAN,HUMAN,Q15696,P78362,U2AFM_HUMAN,SRPK2_HUMAN,10,7.83,13.53,1,5.33,5.34,0,5,1,1,1,1,1,1,1,N/A,1,N/A,1,N/A,N/A,Cytosol;Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,TFIP11,MOUSE,HUMAN,Q9JLY7,Q9UBB9,DUS14_MOUSE,TFP11_HUMAN,7,7.63,13.52,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,Cytosol;Nucleoplasm,N/A,Nucleoplasm,Cytosol,Cytosol;Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4ENIF1,ANKHD1,HUMAN,HUMAN,Q9NRA8,Q8IWZ3,4ET_HUMAN,ANKH1_HUMAN,1,1.6,13.47,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,N/A,1,N/A,Vesicles,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,EXOSC8,MOUSE,HUMAN,Q8C2Q3,Q96B26,RBM14_MOUSE,EXOS8_HUMAN,6,6.58,13.47,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,1,0,1,Nuclear speckles,N/A,Nucleoli fibrillar center;Vesicles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DMRTB1,CTBP1,HUMAN,HUMAN,Q96MA1,Q13363,DMRTB_HUMAN,CTBP1_HUMAN,10,9.45,13.43,1,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,N/A,1,N/A,0,N/A,N/A,Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,EXOSC8,MOUSE,HUMAN,Q9JLY7,Q96B26,DUS14_MOUSE,EXOS8_HUMAN,4,5.47,13.39,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,Cytosol;Nucleoplasm,N/A,Nucleoli fibrillar center;Vesicles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF1,DMRTB1,HUMAN,HUMAN,Q15637,Q96MA1,SF01_HUMAN,DMRTB_HUMAN,11,9.23,13.39,0,6.53,8.21,0,5,0,0,0,0,0,1,1,1,N/A,0,N/A,Nucleoplasm,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,DMRTB1,MOUSE,HUMAN,Q8C2Q3,Q96MA1,RBM14_MOUSE,DMRTB_HUMAN,10,11.79,13.38,0,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,N/A,0,N/A,Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NXF1,PRRC2B,HUMAN,HUMAN,Q9UBU9,Q5JSZ5,NXF1_HUMAN,PRC2B_HUMAN,10,8.41,13.31,0,1.73,7.84,0,5,0,0,0,0,0,0,0,1,1,0,1,Nucleoplasm,N/A,Cytosol;Nuclear bodies,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,BAG4,MOUSE,HUMAN,Q9JLY7,O95429,DUS14_MOUSE,BAG4_HUMAN,4,3.92,13.29,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,N/A,1,N/A,Cytosol;Nucleoplasm,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NXF1,EXOSC8,HUMAN,HUMAN,Q9UBU9,Q96B26,NXF1_HUMAN,EXOS8_HUMAN,6,4.77,13.29,0,1.85,7.74,0,4,1,1,1,0,1,1,1,1,1,0,1,Nucleoplasm,N/A,Nucleoli fibrillar center;Vesicles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NXF1,CPSF6,HUMAN,MOUSE,Q9UBU9,Q6NVF9,NXF1_HUMAN,CPSF6_MOUSE,11,9.71,13.26,0,3.21,7.64,0,5,0,0,0,0,0,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles;Nucleoplasm,N/A,Nucleoplasm,1,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCBP2,RBM47,HUMAN,MOUSE,Q15366,Q91WT8,PCBP2_HUMAN,RBM47_MOUSE,7,7.14,13.25,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,Nucleoplasm,Cytosol,Cytosol,Nucleoplasm,Cytosol;Nucleoplasm,0,N/A,N/A,N/A,1,0,8656,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRPF6,MAPRE1,HUMAN,MOUSE,O94906,Q61166,PRP6_HUMAN,MARE1_MOUSE,2,1.45,13.23,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,1,Nuclear speckles,N/A,Centriolar satellite;Cytosol,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4ENIF1,QKI,HUMAN,HUMAN,Q9NRA8,Q96PU8,4ET_HUMAN,QKI_HUMAN,5,2.97,13.19,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,1,0,Vesicles,N/A,Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,1,0,12398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRPF38A,CLK2,HUMAN,HUMAN,Q8NAV1,P49760,PR38A_HUMAN,CLK2_HUMAN,5,6.41,13.18,0,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,Nuclear bodies,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRSF11,SREK1,HUMAN,HUMAN,Q05519,Q8WXA9,SRS11_HUMAN,SREK1_HUMAN,11,8.87,13.18,1,9.45,9.54,0,5,1,1,1,1,1,1,1,1,1,0,0,Nuclear speckles,N/A,Nuclear speckles;Nucleoplasm,N/A,Nuclear speckles,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LUC7L2,SRRM3,HUMAN,MOUSE,Q9Y383,Q80WV7,LC7L2_HUMAN,SRRM3_MOUSE,10,9.53,13.15,0,7.86,7.86,0,5,0,0,0,0,0,0,0,1,0,0,1,Nucleoplasm,N/A,Plasma membrane,Intermediate filaments;Microtubules,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBMX,HNRNPK,HUMAN,MOUSE,P38159,P61979,RBMX_HUMAN,HNRPK_MOUSE,9,6.89,13.14,1,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,8693,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF1,CPSF6,HUMAN,MOUSE,Q15637,Q6NVF9,SF01_HUMAN,CPSF6_MOUSE,10,6.45,13.13,0,5.6,8.32,0,5,0,0,0,0,0,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles;Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,CPSF6,MOUSE,MOUSE,Q9JLY7,Q6NVF9,DUS14_MOUSE,CPSF6_MOUSE,8,3.71,13.12,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,1,0,Cytosol;Nucleoplasm,N/A,Nuclear speckles;Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRSF11,PUF60,HUMAN,HUMAN,Q05519,Q9UHX1,SRS11_HUMAN,PUF60_HUMAN,9,9.86,13.12,1,10.12,10.05,0,5,1,1,1,1,1,1,1,1,1,0,0,Nuclear speckles,N/A,Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAG4,EIF4ENIF1,HUMAN,HUMAN,O95429,Q9NRA8,BAG4_HUMAN,4ET_HUMAN,3,3.15,13.11,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,N/A,0,N/A,1,N/A,N/A,Vesicles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DMRTB1,RBFOX2,HUMAN,HUMAN,Q96MA1,O43251,DMRTB_HUMAN,RFOX2_HUMAN,21,10.28,13.1,1,5.36,5.39,0,5,1,1,1,0,1,1,1,N/A,1,N/A,1,N/A,N/A,Nucleoplasm,Cytosol,N/A,0,N/A,N/A,N/A,0,1,0,10995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4ENIF1,KRT31,HUMAN,HUMAN,Q9NRA8,Q15323,4ET_HUMAN,K1H1_HUMAN,1,1.5,13.09,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,N/A,1,N/A,Vesicles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
