,Cell Line,cutoff,Significant Events,dpsi_dshap_concordance,FET OR,FET P-Value
0,HepG2,0.0,140,52.293577981651374,1.0076804915514592,1.0
1,HepG2,0.05,35,62.857142857142854,2.6666666666666665,0.1870991923393142
2,HepG2,0.1,30,56.666666666666664,1.7142857142857142,0.7152491865522346
3,HepG2,0.2,18,55.55555555555556,1.5,1.0
4,K562,0.0,1800,46.03351955307263,1.288607748920382,0.02286765885976358
5,K562,0.05,1257,44.868735083532215,1.2082616179001722,0.1674066843776042
6,K562,0.1,1117,45.12085944494181,1.1547765248781214,0.3328752290253242
7,K562,0.2,683,55.4904831625183,1.4328402808904825,0.03545366085336317
