Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
HepG2	xgboost	RBFOX2-SF3B4	5	-0.0530870134285157	0.3327878678295157	2077	17969	-0.3858748812580314
K562	xgboost	FMR1-FXR2	4	-0.073684704982732	0.3343120733918291	2408	5455	-0.4079967783745611
HepG2	xgboost	RBFOX2-SF3B4	1	-0.2198181176665723	0.2417757596905536	486	12059	-0.46159387735712587
K562	xgboost	EWSR1-HNRNPK	3	-0.2579563221111578	0.2125192821535091	3	5426	-0.47047560426466695
K562	xgboost	APOBEC3C-PCBP1	2	-0.4694060863637657	0.0356474280441024	361	4752	-0.505053514407868
K562	xgboost	RBM22-TIA1	6	-0.329774553399897	0.2330782164545431	91	6705	-0.5628527698544401
K562	xgboost	EWSR1-NONO	5	-0.1608701852732807	0.4399137848804422	610	2962	-0.6007839701537229
K562	xgboost	EWSR1-NONO	1	-0.2292311369908368	0.3725180482632289	295	1831	-0.6017491852540657
K562	xgboost	CSTF2T-TAF15	1	-0.2579563221111578	0.3561922919143782	3	1915	-0.614148614025536
K562	xgboost	GTF2F1-PCBP1	3	-0.5699275022598855	0.067719108442557	112	5565	-0.6376466107024426
K562	xgboost	RBFOX2-SF3B4	3	-0.3951743994211099	0.2755840146064469	879	24604	-0.6707584140275568
HepG2	xgboost	RBFOX2-SF3B4	3	-0.531393389639016	0.1607639426141304	1524	18342	-0.6921573322531464
HepG2	xgboost	HNRNPK-U2AF2	1	-0.4600730333300855	0.2566672480997044	93	15007	-0.7167402814297898
K562	xgboost	HNRNPK-PCBP1	6	-0.5584288643368254	0.205841102231885	618	3829	-0.7642699665687104
K562	xgboost	HNRNPK-U2AF2	5	-0.6604270809612651	0.1086976144561789	23	14618	-0.769124695417444
K562	xgboost	APOBEC3C-PCBP1	1	-0.4694060863637657	0.3011429447240875	361	1512	-0.7705490310878531
K562	xgboost	RBFOX2-SF3B4	4	-0.5346104725373153	0.3049755947175803	543	23020	-0.8395860672548956
HepG2	xgboost	HNRNPK-LARP4	3	-0.6575225701603193	0.2021665760106129	61	5255	-0.8596891461709322
K562	xgboost	HNRNPK-PCBP1	2	-0.6108958177838502	0.2824084342107648	638	4052	-0.8933042519946149
HepG2	xgboost	PTBP1-QKI	4	-1.0133744419757909	-0.0960865593945736	36	6302	-0.9172878825812173
K562	xgboost	RBM22-TIA1	5	-0.7595181663689823	0.1580632066139895	738	8956	-0.9175813729829718
HepG2	xgboost	RBFOX2-SF3B4	4	-0.7681313018124127	0.1649425089075809	609	14227	-0.9330738107199936
K562	xgboost	HNRNPK-PCBP1	5	-0.7107307467868214	0.2438862674361295	414	3336	-0.9546170142229509
HepG2	xgboost	PCBP2-QKI	5	-1.001589989705436	-0.0097704365348232	85	6741	-0.9918195531706127
K562	xgboost	MBNL1-RBFOX2	4	-0.7577797582743195	0.2391616376744202	218	3315	-0.9969413959487398
K562	xgboost	EWSR1-RBM15	3	-0.9489946232464994	0.0582069422505887	91	5359	-1.007201565497088
HepG2	xgboost	QKI-RBFOX2	1	-0.7400761531285545	0.3083920521582555	24	3500	-1.04846820528681
K562	xgboost	FXR1-FXR2	4	-0.8108420614631147	0.2938293793915869	1711	4897	-1.1046714408547016
HepG2	xgboost	HNRNPK-LARP4	4	-0.8392639473850623	0.2816498882223737	81	5573	-1.120913835607436
K562	xgboost	RBFOX2-SF3B4	2	-0.9212535336750662	0.2112567066019355	595	43745	-1.1325102402770018
K562	xgboost	PUM2-QKI	6	-1.2555234154641126	0.0096189602141815	55	4999	-1.265142375678294
K562	xgboost	U2AF1-U2AF2	1	-1.1700676946533024	0.1195082943444927	1394	5369	-1.2895759889977951
K562	xgboost	RBM22-TIA1	4	-1.261088778492721	0.1911226979201664	260	7541	-1.4522114764128873
K562	xgboost	CSTF2T-NONO	2	-1.336110663948166	0.1847870324213356	692	5045	-1.5208976963695016
K562	xgboost	IGF2BP2-PCBP1	4	-1.8619110873834892	-0.0608369372322261	322	5675	-1.801074150151263
K562	xgboost	PTBP1-ZC3H8	3	-1.6381750289149468	0.2408214512139048	896	1643	-1.8789964801288517
