Dataset	Cell Line	Model	Total Binding	PPI Category	R2 Value	# Rows	% Dataset
ALL DATA	K562	xgboost	6	Single Binders	0.3245334456700075	91080	4.044327750402634
ALL DATA	K562	linear	9	>= 1 Same Pos. PPI	0.32154871964852494	9957	0.442131877588483
ALL DATA	HepG2	linear	13	Single Binders	0.31932950838096497	30183	1.4490158425348054
ALL DATA	HepG2	linear	9	Single Binders	0.3164819841844052	55312	2.655400864138262
TEST ONLY	K562	xgboost	15	Single Binders	0.3123021725184284	24236	6.246230767248266
TEST ONLY	K562	xgboost	8	Single Binders	0.3065621724797297	11946	3.0787866292105877
ALL DATA	HepG2	linear	10	Single Binders	0.3002157725674506	49515	2.3771003360537684
TEST ONLY	HepG2	xgboost	11	Single Binders	0.3002129585549501	6979	1.819770019034706
ALL DATA	HepG2	xgboost	9	>= 1 Same Pos. PPI	0.2948997578139382	4448	0.21353816610657708
ALL DATA	K562	linear	8	Single Binders	0.29347035106224295	68954	3.0618420696230046
ALL DATA	K562	linear	12	Single Binders	0.2878913720580166	48349	2.1468950637265807
ALL DATA	HepG2	linear	14	Single Binders	0.28674854303391517	28376	1.3622659625540088
ALL DATA	HepG2	xgboost	7	>= 1 Same Pos. PPI	0.2846258385456112	3957	0.18996639462313972
ALL DATA	K562	linear	11	Single Binders	0.2842246863426171	46635	2.070786392622166
TEST ONLY	K562	xgboost	10	>= 1 Same Pos. PPI	0.2816094954728958	1473	0.3796293909950775
TEST ONLY	K562	xgboost	8	>= 1 Same Pos. PPI	0.2808798966334908	1761	0.4538542821061313
TEST ONLY	K562	xgboost	7	Single Binders	0.28064052208294044	13784	3.5524857606762708
ALL DATA	HepG2	linear	8	Single Binders	0.2770875394671227	61364	2.9459433509361497
TEST ONLY	K562	xgboost	9	Single Binders	0.2754723640065696	9535	2.4574108914718695
TEST ONLY	HepG2	xgboost	15	Single Binders	0.2683380601963713	22290	5.81210398685823
TEST ONLY	K562	xgboost	10	Single Binders	0.2655727577578464	8882	2.2891162598902093
ALL DATA	K562	xgboost	6	>= 1 Same Pos. PPI	0.2644440208394745	8256	0.3666004601155484
ALL DATA	K562	linear	9	Single Binders	0.2630019581190557	64782	2.8765880580432968
ALL DATA	K562	linear	7	>= 1 Same Pos. PPI	0.2597578942333043	8389	0.3725062088068478
ALL DATA	K562	linear	14	Single Binders	0.25843940171012103	29765	1.3216887954626089
ALL DATA	K562	linear	6	>= 1 Same Pos. PPI	0.2579491090689998	8256	0.3666004601155484
ALL DATA	HepG2	xgboost	5	>= 1 Same Pos. PPI	0.25525751802505625	3006	0.1443110897743639
ALL DATA	K562	xgboost	5	Single Binders	0.2549285850207309	91406	4.058803495315143
TEST ONLY	HepG2	xgboost	9	Single Binders	0.2526718292341964	9089	2.3699512398633673
ALL DATA	HepG2	xgboost	5	Single Binders	0.2485045037874447	85085	4.084733557369179
TEST ONLY	HepG2	linear	6	Single Binders	0.24624497135904133	14247	3.7148966128653753
ALL DATA	K562	linear	10	Single Binders	0.24459232989598512	57422	2.5497736943743967
ALL DATA	HepG2	linear	6	Single Binders	0.24416254366048118	79924	3.8369659145463273
ALL DATA	HepG2	linear	7	Single Binders	0.24318563122900771	70841	3.4009121459433507
ALL DATA	HepG2	linear	15	>= 1 Same Pos. PPI	0.24308231785071255	52988	2.543831012962074
TEST ONLY	K562	xgboost	9	>= 1 Same Pos. PPI	0.24154479902215575	1480	0.38143346820958224
TEST ONLY	K562	xgboost	6	Single Binders	0.2404703485211933	15134	3.900414937759336
ALL DATA	HepG2	linear	15	Single Binders	0.23939727530159438	159699	7.666778684589534
ALL DATA	HepG2	xgboost	10	>= 1 Same Pos. PPI	0.23790715141171792	4668	0.22409985597695634
TEST ONLY	HepG2	xgboost	12	>= 1 Same Pos. PPI	0.23457593962898393	527	0.13741493051028655
TEST ONLY	K562	linear	12	Single Binders	0.23415055864515544	8014	2.0654106852916163
TEST ONLY	HepG2	linear	8	Single Binders	0.23406914805933632	8937	2.330317332012203
TEST ONLY	HepG2	linear	10	Single Binders	0.233899036928371	9039	2.3569137701754843
ALL DATA	HepG2	linear	11	Single Binders	0.2287164969499058	40586	1.9484397503600575
TEST ONLY	K562	xgboost	15	>= 1 Same Pos. PPI	0.22829266805181792	17174	4.426174583129301
ALL DATA	HepG2	xgboost	4	Single Binders	0.22510508632096982	95560	4.587614018242919
TEST ONLY	K562	linear	13	Single Binders	0.2246821999788109	5930	1.5283111260019073
ALL DATA	HepG2	linear	10	>= 1 Same Pos. PPI	0.21999543479822614	4668	0.22409985597695634
ALL DATA	K562	xgboost	4	Single Binders	0.21777539612926045	100536	4.464213161116374
ALL DATA	K562	linear	6	Single Binders	0.21684123050713677	91080	4.044327750402634
TEST ONLY	K562	xgboost	13	>= 1 Same Pos. PPI	0.21504122651075075	1300	0.3350429112651736
TEST ONLY	HepG2	linear	12	Single Binders	0.21368875000590537	5276	1.3757138014654116
TEST ONLY	HepG2	xgboost	11	>= 1 Same Pos. PPI	0.2131506746657672	1567	0.4085943000182525
TEST ONLY	HepG2	xgboost	4	Single Binders	0.21297171795143177	15572	4.060389559594274
ALL DATA	HepG2	xgboost	6	>= 1 Same Pos. PPI	0.21217899387252703	4316	0.2072011521843495
TEST ONLY	K562	xgboost	13	Single Binders	0.2103766764561149	5930	1.5283111260019073
TEST ONLY	K562	linear	8	Single Binders	0.20995849202935968	11946	3.0787866292105877
ALL DATA	K562	linear	7	Single Binders	0.20735760075836163	83824	3.7221314157855776
TEST ONLY	K562	linear	13	>= 1 Same Pos. PPI	0.20444678646766978	1300	0.3350429112651736
ALL DATA	HepG2	linear	5	Single Binders	0.2006765666935737	85085	4.084733557369179
TEST ONLY	HepG2	linear	5	Single Binders	0.19964694696508078	15511	4.044483846575057
TEST ONLY	K562	linear	7	>= 1 Same Pos. PPI	0.19788626907607787	1689	0.43529805932836785
TEST ONLY	HepG2	xgboost	5	Single Binders	0.19438224549339211	15511	4.044483846575057
TEST ONLY	K562	xgboost	5	Single Binders	0.18842447552608121	16145	4.160975232597098
TEST ONLY	K562	xgboost	4	Single Binders	0.18512063059277606	16287	4.19757222751991
TEST ONLY	K562	linear	6	Single Binders	0.17652767672961278	15134	3.900414937759336
ALL DATA	K562	linear	11	>= 1 Same Pos. PPI	0.175836047856463	9897	0.4394676300585734
TEST ONLY	HepG2	xgboost	15	>= 1 Same Pos. PPI	0.17458373249398607	9794	2.5537795624625175
ALL DATA	HepG2	linear	4	Single Binders	0.17355710407156044	95560	4.587614018242919
ALL DATA	K562	linear	5	Single Binders	0.16954772006007202	91406	4.058803495315143
ALL DATA	HepG2	xgboost	3	Single Binders	0.16905004926560918	98953	4.750504080652904
TEST ONLY	HepG2	xgboost	14	Single Binders	0.16736421179935246	4679	1.220046413392089
TEST ONLY	HepG2	xgboost	7	Single Binders	0.1671401375277628	10690	2.7874110192693804
ALL DATA	K562	xgboost	3	Single Binders	0.1622093293320579	99189	4.404400804069905
ALL DATA	HepG2	linear	7	>= 1 Same Pos. PPI	0.15980989588851235	3957	0.18996639462313972
TEST ONLY	K562	linear	7	Single Binders	0.15460659543553246	13784	3.5524857606762708
ALL DATA	HepG2	linear	11	>= 1 Same Pos. PPI	0.15295048081436613	5495	0.26380220835333656
TEST ONLY	HepG2	linear	11	Single Binders	0.15287212879937773	6979	1.819770019034706
TEST ONLY	HepG2	linear	8	>= 1 Same Pos. PPI	0.1470143306397348	2064	0.5381867487158093
TEST ONLY	K562	xgboost	7	>= 1 Same Pos. PPI	0.1451507186909664	1689	0.43529805932836785
TEST ONLY	K562	linear	10	Single Binders	0.14392466197220655	8882	2.2891162598902093
ALL DATA	K562	linear	8	>= 1 Same Pos. PPI	0.1428227716419187	8904	0.3953743334385711
ALL DATA	HepG2	linear	5	>= 1 Same Pos. PPI	0.14202473545239336	3006	0.1443110897743639
TEST ONLY	K562	linear	4	>= 1 Same Pos. PPI	0.14139317347309555	1152	0.29689956444421534
TEST ONLY	K562	linear	9	Single Binders	0.1366495098031828	9535	2.4574108914718695
ALL DATA	K562	linear	4	Single Binders	0.13417860220111255	100536	4.464213161116374
TEST ONLY	HepG2	linear	4	Single Binders	0.13348364407542523	15572	4.060389559594274
