Cell Line	Model	RBP Pair	Position	PPI Category	R2 Value	# Unique Graphs	% Unique Graphs
HepG2	linear	QKI-RBFOX2	4	Same Pos. PPI	0.26161014463800136	330	0.08717428517086159
K562	xgboost	DDX42-RBFOX2	3	Single Binders	0.26122089719017927	4566	1.1800553587073663
K562	xgboost	EWSR1-NONO	3	Single Binders	0.25983654187437055	2708	0.6998663844458056
K562	xgboost	FMR1-FXR2	6	Single Binders	0.25978924053575103	5596	1.446252691048275
HepG2	xgboost	HNRNPK-U2AF2	1	Single Binders	0.2566672480997044	15007	3.9643166592700605
K562	xgboost	CSTF2T-EWSR1	5	Single Binders	0.2556576694237962	3483	0.9001604937314405
HepG2	xgboost	U2AF1-U2AF2	5	Single Binders	0.2544335257286914	29738	7.855723916397219
K562	xgboost	EWSR1-NONO	4	Single Binders	0.25325712879487183	2412	0.6233669568992921
HepG2	xgboost	U2AF1-U2AF2	1	Single Binders	0.25274550810677965	13764	3.635960185126482
K562	xgboost	IGF2BP2-PCBP1	2	Single Binders	0.2522799984537888	8959	2.3153999033419392
K562	xgboost	IGF2BP2-PCBP1	6	Single Binders	0.2488783877328693	7039	1.819187400337528
HepG2	xgboost	U2AF1-U2AF2	4	Single Binders	0.24683015329035418	35401	9.351687482829307
HepG2	xgboost	HNRNPK-LARP4	6	Neither	0.24642243634178596	179914	47.52689194615271
HepG2	xgboost	U2AF1-U2AF2	2	Neither	0.24621739302702372	181148	47.85287093979163
HepG2	xgboost	RBFOX2-SF3B4	6	Neither	0.24408674778386408	179474	47.410659565924895
K562	xgboost	HNRNPK-PCBP1	5	Single Binders	0.2438862674361295	3336	0.8621692239701653
HepG2	xgboost	U2AF1-U2AF2	3	Neither	0.24374569470536334	181312	47.89619391787654
HepG2	xgboost	HNRNPK-LARP4	5	Neither	0.24367316072281542	180900	47.78735814366322
HepG2	xgboost	RBM22-TIA1	5	Neither	0.24359441126622428	178888	47.255859168621484
HepG2	xgboost	HNRNPK-LARP4	3	Neither	0.2434429479788992	181229	47.874268264333566
HepG2	xgboost	PCBP2-RBFOX2	1	Neither	0.24333709363014722	181051	47.82724698324141
HepG2	xgboost	FUBP3-RBFOX2	6	Neither	0.24330435645888537	180950	47.80056636868911
HepG2	xgboost	PCBP1-PTBP1	3	Neither	0.24315540095007449	181255	47.88113654134703
HepG2	xgboost	U2AF1-U2AF2	1	Neither	0.24315418896373486	181375	47.91283628140916
HepG2	xgboost	HNRNPK-PCBP1	2	Neither	0.243097621563942	181408	47.92155370992624
HepG2	xgboost	HNRNPK-U2AF2	5	Neither	0.243097621563942	181408	47.92155370992624
HepG2	xgboost	PCBP1-RBFOX2	2	Neither	0.243097621563942	181408	47.92155370992624
HepG2	xgboost	PCBP2-QKI	3	Neither	0.243097621563942	181408	47.92155370992624
HepG2	xgboost	PCBP1-RBFOX2	6	Neither	0.24309762156394188	181408	47.92155370992624
HepG2	xgboost	RBFOX2-SF3B4	5	Neither	0.24309762156394188	181408	47.92155370992624
HepG2	xgboost	HNRNPK-PCBP1	6	Neither	0.24309762156394188	181408	47.92155370992624
HepG2	xgboost	QKI-RBFOX2	3	Neither	0.24309762156394188	181408	47.92155370992624
HepG2	xgboost	HNRNPK-QKI	3	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	HNRNPK-U2AF2	2	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	PCBP2-RBFOX2	3	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	HNRNPK-PCBP1	3	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	PCBP2-RBFOX2	5	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	HNRNPK-U2AF2	1	Neither	0.24309762156394177	181408	47.92155370992624
HepG2	xgboost	QKI-RBFOX2	4	Neither	0.24309762156394166	181408	47.92155370992624
HepG2	xgboost	QKI-RBFOX2	5	Neither	0.24309762156394166	181408	47.92155370992624
HepG2	xgboost	PCBP1-RBFOX2	3	Neither	0.24309762156394155	181408	47.92155370992624
HepG2	xgboost	PCBP2-QKI	5	Neither	0.24309762156394155	181408	47.92155370992624
HepG2	xgboost	HNRNPK-U2AF2	3	Neither	0.24309762156394155	181408	47.92155370992624
HepG2	xgboost	RBFOX2-SF3B4	3	Neither	0.24309762156394155	181408	47.92155370992624
HepG2	xgboost	SF3B4-TAF15	5	Neither	0.24309554281967993	181407	47.92128954542573
HepG2	xgboost	HNRNPK-PCBP1	1	Neither	0.24309506642599188	181407	47.92128954542573
HepG2	xgboost	SF3B4-TAF15	3	Neither	0.24309197979919506	181404	47.92049705192418
HepG2	xgboost	HNRNPK-PCBP1	5	Neither	0.24309162922918526	181406	47.92102538092521
HepG2	xgboost	RBFOX2-SF3B4	2	Neither	0.24308571164626636	177790	46.96580654705298
HepG2	xgboost	HNRNPK-IGF2BP3	3	Neither	0.2430652039044765	181397	47.91864790042055
HepG2	xgboost	FUBP3-U2AF2	4	Neither	0.24298794408213942	181364	47.909930471903465
HepG2	xgboost	U2AF1-U2AF2	4	Neither	0.24296468847270436	181333	47.90174137238741
HepG2	xgboost	RBM22-TIA1	2	Neither	0.24293340041712363	177952	47.00860119613686
HepG2	xgboost	HNRNPK-PCBP1	4	Neither	0.2429333313132852	181351	47.90649633339673
HepG2	xgboost	HNRNPK-IGF2BP3	6	Neither	0.24292866543296376	180901	47.78762230816374
HepG2	xgboost	U2AF1-U2AF2	5	Neither	0.242857196486997	181221	47.872154948329424
HepG2	xgboost	PTBP1-QKI	4	Neither	0.24269117674440255	181237	47.87638158033771
HepG2	xgboost	RBM22-TIA1	6	Neither	0.24266924325377703	180207	47.60429214480441
HepG2	xgboost	QKI-RBFOX2	1	Neither	0.24265626299113718	181027	47.82090703522898
HepG2	xgboost	HNRNPK-IGF2BP3	4	Neither	0.24248431370687784	181120	47.845474333777126
HepG2	xgboost	HNRNPK-LARP4	4	Neither	0.24197115468823593	180727	47.741657685073655
HepG2	xgboost	RBM15-SRSF9	6	Neither	0.24182285319053576	180907	47.78920729516685
HepG2	xgboost	RBFOX2-SF3B4	1	Single Binders	0.24177575969055365	12059	3.185559711743697
HepG2	xgboost	RBM22-TIA1	4	Neither	0.24166724678235896	180474	47.67482406644265
K562	xgboost	EWSR1-RBM15	2	Single Binders	0.24104027064230582	16539	4.274405514161439
HepG2	xgboost	RBFOX2-SF3B4	1	Neither	0.2410260724171861	179369	47.38292229337053
HepG2	xgboost	PCBP2-QKI	3	Single Binders	0.24082519965889138	6931	1.8309241530886113
K562	xgboost	PTBP1-ZC3H8	3	Single Binders	0.24082145121390486	1643	0.424623511685546
HepG2	xgboost	U2AF1-U2AF2	6	Neither	0.24053658651291476	174033	45.97334051860775
K562	xgboost	RBFOX2-SF3B4	5	Neither	0.24049427426006253	207838	53.714486562203604
HepG2	xgboost	RBFOX2-SF3B4	4	Neither	0.23963762485029905	179352	47.37843149686173
K562	xgboost	MBNL1-RBFOX2	4	Single Binders	0.23916163767442022	3315	0.8567418997185544
K562	xgboost	U2AF1-U2AF2	6	Neither	0.23877951260501618	207319	53.580354119985216
K562	xgboost	CPSF6-RBM15	6	Single Binders	0.23860660600348393	13903	3.5931470985783
K562	xgboost	RBFOX2-SF3B4	6	Neither	0.23829492650892603	205838	53.19759853824066
K562	linear	CSTF2T-NONO	4	Single Binders	0.23828426532217062	3417	0.8831031889406639
K562	linear	RBM22-TIA1	5	Same Pos. PPI	0.2382450047854715	738	0.19073168084232073
HepG2	xgboost	HNRNPK-U2AF2	3	Single Binders	0.23757438149877974	26768	7.071155349859465
K562	xgboost	PUM2-QKI	6	Neither	0.23747217861047976	208365	53.85068655651782
K562	xgboost	RBM22-TIA1	2	Neither	0.23700584348616927	208359	53.84913589244594
K562	xgboost	U2AF1-U2AF2	2	Neither	0.23614167315160128	208654	53.92537687598047
K562	xgboost	U2AF1-U2AF2	3	Neither	0.23607180531653216	210427	54.383598109223605
K562	xgboost	GTF2F1-PCBP1	3	Neither	0.2355163392656946	210549	54.415128278685344
K562	xgboost	RBM22-TIA1	3	Neither	0.23549321803868895	210115	54.3029635774854
K562	xgboost	FMR1-FXR2	6	Neither	0.23540789620215785	210757	54.468884633177495
K562	xgboost	PTBP1-ZC3H8	5	Neither	0.2353486027450966	210783	54.47560417748901
K562	xgboost	HNRNPK-PCBP1	6	Neither	0.23525488320310128	210955	54.52005654754982
K562	xgboost	IGF2BP2-PCBP1	2	Neither	0.23516664304655033	210551	54.41564516670931
K562	xgboost	GTF2F1-PCBP1	4	Neither	0.23516491877952173	210670	54.44640000413511
K562	xgboost	FXR1-FXR2	5	Neither	0.23515546133137943	211056	54.546159392759954
K562	xgboost	FXR1-FXR2	2	Neither	0.23514268421483042	211034	54.54047362449636
K562	xgboost	CPSF6-RBM15	2	Neither	0.23508436884381145	210804	54.48103150174062
K562	xgboost	RBM22-TIA1	4	Neither	0.23506080160411735	210177	54.31898710622824
K562	xgboost	IGF2BP2-PCBP1	6	Neither	0.23504870929400912	210058	54.28823226880245
K562	xgboost	FXR1-FXR2	1	Neither	0.23504640688481881	211198	54.582858442461315
K562	xgboost	PTBP1-ZC3H8	6	Neither	0.23504618255804177	211095	54.55623870922722
K562	xgboost	QKI-RBFOX2	1	Neither	0.2350381208265825	210962	54.5218656556337
K562	xgboost	CSTF2T-TAF15	4	Neither	0.2350298702923952	211184	54.57924022629358
K562	xgboost	IGF2BP2-PCBP1	3	Neither	0.23502727938913182	211029	54.539181404436455
K562	xgboost	FXR1-FXR2	6	Neither	0.23499305024962747	211040	54.54202428856825
